# This dataset is synthetic and created for academic development/testing. It does NOT represent any real employee, organisation, HR record, or promotion decision.
experience_years,performance_rating,current_grade_encoded,target_grade_encoded,grade_gap,total_skills,average_skill_level,skill_coverage_percentage,mandatory_skill_gap_count,weighted_skill_gap,total_certifications,completed_certifications,certification_completion_rate,mandatory_certification_gap_count,total_projects,completed_projects,lead_projects,project_completion_rate,lead_project_completion_rate,average_project_rating,skill_score,certification_score,experience_score,project_score,performance_score,readiness_score,promotion_success
3.9,3.47,1,2,1,7,3.94,95.73,0,0.0,3,2,0.779,1,6,6,0,1.0,0.0,4.15,38.29,11.68,14.62,14.0,6.94,85.53,1
6.0,2.57,2,3,1,4,3.91,89.43,1,0.9418,0,0,0.645,2,3,3,0,0.75,0.0,3.15,35.77,9.68,15.0,10.5,5.14,76.09,1
4.0,2.96,4,5,1,3,2.9,93.8,0,0.0,4,2,0.453,2,7,7,1,1.0,0.5,2.77,37.52,6.8,6.0,17.0,5.92,73.24,1
0.5,2.86,3,4,1,8,4.39,48.28,4,3.5758,0,0,0.777,3,9,9,1,1.0,1.0,3.09,19.31,11.66,0.94,20.0,5.72,57.63,0
8.5,2.48,3,4,1,8,3.23,46.7,3,1.6077,5,3,0.639,1,7,7,3,1.0,1.0,4.19,18.68,9.59,15.0,20.0,4.96,68.23,1
9.0,3.58,3,4,1,9,3.63,81.87,0,0.0,4,3,0.739,1,3,3,0,0.75,0.0,4.33,32.75,11.08,15.0,10.5,7.16,76.49,0
0.5,2.52,1,2,1,11,3.28,82.9,4,3.6092,2,1,0.51,1,8,8,3,1.0,1.0,3.89,33.16,7.65,1.88,20.0,5.04,67.73,1
0.5,1.76,2,3,1,3,3.25,87.3,0,0.0,2,1,0.294,2,0,0,0,0.0,0.0,2.37,34.92,4.41,1.25,0.0,3.52,44.1,0
4.2,3.2,2,3,1,6,2.26,94.99,0,0.0,4,3,0.75,1,9,9,2,1.0,1.0,4.03,38.0,11.25,10.5,20.0,6.4,86.15,1
8.3,2.06,3,4,1,4,3.7,78.78,0,0.0,0,0,0.722,0,8,8,0,1.0,0.0,4.41,31.51,10.83,15.0,14.0,4.12,75.46,1
6.5,2.9,1,2,1,11,5.0,62.32,4,2.8508,4,3,0.669,0,6,6,0,1.0,0.0,3.62,24.93,10.04,15.0,14.0,5.8,69.77,0
3.3,2.77,1,2,1,7,2.63,62.49,4,3.4026,3,3,0.858,1,6,6,2,1.0,1.0,4.89,25.0,12.87,12.38,20.0,5.54,75.79,1
1.1,2.8,1,2,1,2,3.07,95.8,0,0.0,1,1,0.798,2,2,2,0,0.667,0.0,2.58,38.32,11.97,4.12,9.34,5.6,69.35,1
0.5,5.0,1,2,1,8,2.55,85.01,0,0.0,5,2,0.34,2,4,4,0,1.0,0.0,3.98,34.0,5.1,1.88,14.0,10.0,64.98,1
2.0,3.55,1,2,1,2,2.51,91.46,0,0.0,3,2,0.54,3,1,1,0,0.333,0.0,2.79,36.58,8.1,7.5,4.66,7.1,63.94,1
1.3,3.7,1,2,1,4,4.54,39.39,8,4.0703,0,0,0.47,2,3,3,1,1.0,1.0,4.24,15.76,7.05,4.88,20.0,7.4,55.09,1
3.5,2.08,3,4,1,9,2.33,90.38,3,2.4287,3,1,0.33,2,5,5,0,1.0,0.0,3.93,36.15,4.95,6.56,14.0,4.16,65.82,0
7.1,2.98,1,2,1,7,2.53,49.32,4,3.7292,2,1,0.545,3,3,3,0,1.0,0.0,4.76,19.73,8.18,15.0,14.0,5.96,62.87,0
6.5,3.67,1,2,1,9,1.41,80.79,2,1.066,4,3,0.798,1,7,7,2,1.0,1.0,3.85,32.32,11.97,15.0,20.0,7.34,86.63,1
6.8,2.68,2,3,1,7,2.24,73.88,4,2.7951,2,1,0.343,1,8,8,3,1.0,1.0,3.22,29.55,5.14,15.0,20.0,5.36,75.05,1
5.7,4.23,4,5,1,10,1.29,49.31,3,2.9101,5,5,0.966,0,5,5,0,1.0,0.0,3.16,19.72,14.49,8.55,14.0,8.46,65.22,1
6.1,2.54,2,3,1,7,3.63,78.79,3,2.2525,5,2,0.469,2,3,3,0,1.0,0.0,3.32,31.52,7.03,15.0,14.0,5.08,72.63,0
3.6,3.27,1,2,1,2,5.0,54.48,3,1.831,0,0,0.691,0,3,3,0,1.0,0.0,3.14,21.79,10.36,13.5,14.0,6.54,66.19,1
7.1,3.03,3,4,1,2,2.63,67.67,2,1.3537,2,1,0.48,0,5,5,0,1.0,0.0,4.44,27.07,7.2,13.31,14.0,6.06,67.64,1
5.1,3.63,1,2,1,9,1.33,59.37,2,1.4081,1,1,0.774,0,7,7,0,1.0,0.0,4.39,23.75,11.61,15.0,14.0,7.26,71.62,1
7.6,2.99,3,4,1,2,3.9,55.58,3,1.6759,2,1,0.581,1,1,1,0,0.25,0.0,2.45,22.23,8.72,14.25,3.5,5.98,54.68,0
7.9,3.28,3,4,1,5,2.27,85.62,1,0.8304,0,0,0.521,0,4,4,1,1.0,0.5,3.53,34.25,7.82,14.81,17.0,6.56,80.44,1
3.6,3.31,1,2,1,2,4.3,81.61,0,0.0,3,2,0.537,2,4,4,0,1.0,0.0,3.54,32.64,8.06,13.5,14.0,6.62,74.82,1
6.9,2.91,3,4,1,5,2.72,69.24,2,1.6477,0,0,0.571,1,2,2,0,0.5,0.0,2.95,27.7,8.56,12.94,7.0,5.82,62.02,0
0.5,3.89,2,3,1,7,2.37,63.38,3,2.4162,3,2,0.643,2,2,2,0,0.5,0.0,3.81,25.35,9.64,1.25,7.0,7.78,51.02,1
4.2,3.69,2,3,1,3,2.82,62.08,2,1.0167,2,2,0.883,0,8,8,1,1.0,0.5,4.52,24.83,13.24,10.5,17.0,7.38,72.95,1
0.6,3.43,1,2,1,6,3.76,88.37,0,0.0,5,3,0.675,0,4,4,1,1.0,0.5,4.12,35.35,10.12,2.25,17.0,6.86,71.58,1
4.8,3.16,4,5,1,11,2.77,65.05,2,1.1656,5,4,0.749,0,5,5,2,0.833,1.0,4.44,26.02,11.24,7.2,17.66,6.32,68.44,0
12.2,4.14,4,5,1,2,2.5,82.32,1,0.549,3,3,0.856,0,0,0,0,0.0,0.0,3.0,32.93,12.84,15.0,0.0,8.28,69.05,1
10.3,3.31,3,4,1,2,2.8,67.8,3,2.6032,2,2,0.852,1,2,2,0,0.5,0.0,3.53,27.12,12.78,15.0,7.0,6.62,68.52,1
7.4,3.25,2,3,1,4,1.73,54.38,4,2.2403,4,2,0.546,2,2,2,0,0.667,0.0,2.96,21.75,8.19,15.0,9.34,6.5,60.78,0
2.6,3.58,1,2,1,10,3.4,65.85,2,1.6682,4,3,0.636,1,3,3,0,1.0,0.0,3.67,26.34,9.54,9.75,14.0,7.16,66.79,0
9.4,4.86,3,4,1,6,1.21,47.5,7,4.1244,0,0,0.432,2,8,8,3,1.0,1.0,3.73,19.0,6.48,15.0,20.0,9.72,70.2,0
2.0,2.43,1,2,1,8,2.56,66.18,2,1.1183,2,2,0.896,0,5,5,0,1.0,0.0,4.17,26.47,13.44,7.5,14.0,4.86,66.27,0
6.5,4.12,3,4,1,2,3.76,80.46,0,0.0,5,2,0.379,1,9,9,0,1.0,0.0,4.42,32.18,5.68,12.19,14.0,8.24,72.29,0
1.3,1.99,2,3,1,9,3.3,83.58,1,0.7542,1,1,0.934,1,4,4,1,1.0,1.0,3.98,33.43,14.01,3.25,20.0,3.98,74.67,1
7.0,3.67,3,4,1,2,3.59,79.78,4,3.291,0,0,0.641,2,7,7,1,1.0,1.0,2.9,31.91,9.62,13.12,20.0,7.34,81.99,1
4.2,4.76,2,3,1,9,2.93,43.94,6,5.4358,5,4,0.897,0,1,1,0,0.333,0.0,2.55,17.58,13.46,10.5,4.66,9.52,55.72,0
2.7,3.89,3,4,1,3,4.17,59.07,3,1.6928,5,3,0.679,1,8,8,0,1.0,0.0,3.86,23.63,10.18,5.06,14.0,7.78,60.65,0
1.9,3.64,1,2,1,10,3.92,36.27,4,3.2324,3,2,0.568,3,6,6,0,1.0,0.0,4.55,14.51,8.52,7.12,14.0,7.28,51.43,0
5.8,3.05,3,4,1,4,3.45,87.55,1,0.8869,3,2,0.73,0,0,0,0,0.0,0.0,3.48,35.02,10.95,10.88,0.0,6.1,62.95,1
8.5,3.52,2,3,1,3,3.93,55.49,1,0.6562,2,2,0.801,1,6,6,0,1.0,0.0,2.43,22.2,12.02,15.0,14.0,7.04,70.26,1
4.2,3.3,1,2,1,5,3.75,77.47,1,0.5399,2,1,0.545,3,4,4,1,1.0,0.5,4.96,30.99,8.18,15.0,17.0,6.6,77.77,0
4.0,2.87,2,3,1,2,2.56,70.91,4,2.3119,5,5,0.936,0,0,0,0,0.0,0.0,3.84,28.36,14.04,10.0,0.0,5.74,58.14,0
4.6,3.27,2,3,1,3,1.66,74.96,1,0.5458,5,4,0.819,1,8,8,3,1.0,1.0,3.62,29.98,12.28,11.5,20.0,6.54,80.3,0
2.1,3.66,1,2,1,7,3.42,67.38,3,2.8308,2,2,0.897,0,5,5,0,1.0,0.0,2.68,26.95,13.46,7.88,14.0,7.32,69.61,1
3.5,2.89,2,3,1,5,3.55,78.09,3,2.0651,1,1,0.885,1,6,6,0,1.0,0.0,3.51,31.24,13.28,8.75,14.0,5.78,73.05,1
0.5,2.85,1,2,1,5,4.09,76.15,1,0.7617,1,1,0.909,0,5,5,2,1.0,1.0,3.98,30.46,13.64,1.88,20.0,5.7,71.68,1
1.6,2.41,1,2,1,10,2.06,62.1,4,3.5374,0,0,0.529,3,0,0,0,0.0,0.0,3.85,24.84,7.94,6.0,0.0,4.82,43.6,0
4.1,3.81,3,4,1,3,2.09,53.76,2,1.3715,2,1,0.383,2,3,3,0,0.75,0.0,3.02,21.5,5.74,7.69,10.5,7.62,53.05,0
0.5,3.94,1,2,1,5,3.46,72.22,1,0.8246,3,3,0.858,1,7,7,2,1.0,1.0,3.46,28.89,12.87,1.88,20.0,7.88,71.52,1
5.3,3.69,2,3,1,3,2.93,82.44,1,0.5383,4,2,0.562,2,3,3,0,1.0,0.0,3.07,32.98,8.43,13.25,14.0,7.38,76.04,0
3.0,4.27,1,2,1,6,1.11,62.24,7,5.1832,4,2,0.42,2,8,8,0,1.0,0.0,4.66,24.9,6.3,11.25,14.0,8.54,64.99,1
0.5,3.57,1,2,1,5,3.38,72.49,1,0.5483,2,1,0.692,0,3,3,1,1.0,1.0,4.13,29.0,10.38,1.88,20.0,7.14,68.4,1
5.7,3.81,3,4,1,2,1.15,48.3,6,3.7449,1,1,0.568,0,4,4,0,1.0,0.0,3.13,19.32,8.52,10.69,14.0,7.62,60.15,0
6.5,3.74,2,3,1,2,2.05,72.31,4,2.5867,5,3,0.548,2,4,4,1,1.0,1.0,2.68,28.92,8.22,15.0,20.0,7.48,79.62,1
4.6,3.43,1,2,1,10,4.35,58.41,2,1.7176,4,2,0.452,1,0,0,0,0.0,0.0,3.69,23.36,6.78,15.0,0.0,6.86,52.0,0
8.6,3.08,3,4,1,2,4.82,95.26,1,0.8371,3,2,0.732,0,8,8,0,1.0,0.0,3.16,38.1,10.98,15.0,14.0,6.16,84.24,1
2.1,5.0,1,2,1,9,1.78,47.33,4,3.4942,0,0,0.967,0,1,1,0,0.333,0.0,3.21,18.93,14.5,7.88,4.66,10.0,55.97,1
1.9,3.14,2,3,1,11,2.67,86.14,1,0.5309,2,2,0.794,2,4,4,1,1.0,1.0,2.71,34.46,11.91,4.75,20.0,6.28,77.4,1
0.5,2.97,1,2,1,6,3.04,48.75,3,2.9909,3,2,0.77,2,9,9,1,1.0,0.5,2.79,19.5,11.55,1.88,17.0,5.94,55.87,0
4.9,3.85,2,3,1,5,4.78,80.41,2,1.0544,5,3,0.614,1,9,9,3,1.0,1.0,3.61,32.16,9.21,12.25,20.0,7.7,81.32,1
2.9,3.7,1,2,1,9,2.51,77.29,0,0.0,3,2,0.791,2,2,2,0,1.0,0.0,3.31,30.92,11.86,10.88,14.0,7.4,75.06,0
11.2,2.38,4,5,1,11,2.52,76.47,6,5.2208,2,0,0.217,2,3,3,0,0.6,0.0,5.0,30.59,3.26,15.0,8.4,4.76,62.01,1
10.7,4.4,4,5,1,3,4.55,78.72,4,3.1835,2,1,0.488,3,5,5,1,0.833,1.0,3.92,31.49,7.32,15.0,17.66,8.8,80.27,1
3.7,3.42,2,3,1,11,2.63,49.41,2,1.4389,2,2,0.822,2,6,6,1,1.0,1.0,2.69,19.76,12.33,9.25,20.0,6.84,68.18,0
2.9,2.61,3,4,1,11,3.72,74.7,2,1.7571,0,0,0.887,0,2,2,0,0.5,0.0,2.43,29.88,13.3,5.44,7.0,5.22,60.84,0
3.2,4.45,2,3,1,3,1.52,38.46,5,4.3496,0,0,0.688,2,5,5,0,1.0,0.0,3.78,15.38,10.32,8.0,14.0,8.9,56.6,1
2.5,4.0,1,2,1,2,2.83,53.61,4,2.2744,4,2,0.498,1,8,8,3,1.0,1.0,3.22,21.44,7.47,9.38,20.0,8.0,66.29,0
1.5,2.49,1,2,1,9,1.34,60.61,0,0.0,2,1,0.656,1,7,7,1,1.0,0.5,4.43,24.24,9.84,5.62,17.0,4.98,61.68,1
4.6,4.92,3,4,1,2,1.94,84.0,1,0.5393,5,2,0.398,2,8,8,3,1.0,1.0,3.7,33.6,5.97,8.62,20.0,9.84,78.03,1
2.6,4.03,1,2,1,8,3.84,61.46,3,2.2508,2,2,0.942,0,8,8,3,1.0,1.0,2.11,24.58,14.13,9.75,20.0,8.06,76.52,1
6.7,3.49,4,5,1,2,2.95,45.83,4,3.2902,5,3,0.603,1,8,8,0,1.0,0.0,2.79,18.33,9.04,10.05,14.0,6.98,58.4,0
4.4,4.77,3,4,1,8,2.68,62.24,2,1.8217,1,1,0.609,2,5,5,0,1.0,0.0,3.03,24.9,9.14,8.25,14.0,9.54,65.83,0
4.8,3.63,2,3,1,4,2.25,93.6,0,0.0,1,1,0.778,1,9,9,2,1.0,1.0,3.81,37.44,11.67,12.0,20.0,7.26,88.37,1
7.0,3.48,4,5,1,2,2.78,57.8,4,2.4737,3,2,0.645,0,4,4,1,0.8,1.0,2.76,23.12,9.68,10.5,17.2,6.96,67.46,0
2.6,2.97,1,2,1,2,3.3,74.77,2,1.4907,4,2,0.452,2,7,7,2,1.0,1.0,3.61,29.91,6.78,9.75,20.0,5.94,72.38,0
8.7,3.97,4,5,1,3,3.98,94.52,2,1.2502,0,0,0.791,1,9,9,0,1.0,0.0,2.56,37.81,11.86,13.05,14.0,7.94,84.66,1
0.5,3.88,1,2,1,7,0.37,98.13,0,0.0,3,2,0.61,1,0,0,0,0.0,0.0,3.5,39.25,9.15,1.88,0.0,7.76,58.04,0
6.8,3.51,4,5,1,2,2.17,86.73,0,0.0,1,1,0.9,0,9,9,4,1.0,1.0,3.76,34.69,13.5,10.2,20.0,7.02,85.41,1
11.6,2.87,4,5,1,10,3.16,95.61,0,0.0,4,3,0.666,0,8,8,3,1.0,1.0,4.52,38.24,9.99,15.0,20.0,5.74,88.97,0
0.5,3.6,1,2,1,8,2.9,71.98,3,1.8601,3,2,0.791,1,9,9,0,1.0,0.0,3.67,28.79,11.86,1.88,14.0,7.2,63.73,1
0.5,3.44,1,2,1,4,3.4,95.95,0,0.0,3,2,0.623,1,7,7,3,1.0,1.0,2.93,38.38,9.35,1.88,20.0,6.88,76.49,0
1.3,2.43,3,4,1,11,3.27,59.42,5,3.6855,1,1,0.61,2,1,1,0,0.2,0.0,4.55,23.77,9.15,2.44,2.8,4.86,43.02,0
2.1,2.32,1,2,1,8,2.7,90.66,0,0.0,1,1,0.79,0,3,3,0,1.0,0.0,3.37,36.26,11.85,7.88,14.0,4.64,74.63,1
2.1,3.95,1,2,1,8,2.47,59.14,0,0.0,3,2,0.634,0,0,0,0,0.0,0.0,4.04,23.66,9.51,7.88,0.0,7.9,48.95,0
3.7,1.42,2,3,1,3,2.75,92.27,0,0.0,2,2,0.842,1,6,6,1,1.0,0.5,3.07,36.91,12.63,9.25,17.0,2.84,78.63,1
9.0,3.66,3,4,1,9,4.15,78.03,2,1.4876,4,2,0.604,3,4,4,0,0.8,0.0,3.56,31.21,9.06,15.0,11.2,7.32,73.79,1
0.5,3.12,2,3,1,7,2.27,54.21,6,3.8083,0,0,0.673,1,4,4,0,1.0,0.0,2.94,21.68,10.1,1.25,14.0,6.24,53.27,1
5.0,4.55,2,3,1,11,2.94,37.57,3,2.341,1,1,0.646,2,7,7,1,1.0,1.0,3.73,15.03,9.69,12.5,20.0,9.1,66.32,0
11.9,3.11,4,5,1,6,3.18,55.2,4,3.7568,0,0,0.692,1,8,8,3,1.0,1.0,4.06,22.08,10.38,15.0,20.0,6.22,73.68,0
0.5,4.03,1,2,1,8,4.56,88.0,2,1.5437,0,0,0.764,2,0,0,0,0.0,0.0,3.15,35.2,11.46,1.88,0.0,8.06,56.6,0
1.1,3.18,1,2,1,5,2.7,64.9,1,0.6434,1,1,0.819,0,9,9,3,1.0,1.0,3.11,25.96,12.28,4.12,20.0,6.36,68.72,1
0.5,3.59,1,2,1,2,3.96,47.66,4,2.124,2,1,0.496,3,3,3,1,1.0,1.0,3.75,19.06,7.44,1.88,20.0,7.18,55.56,0
1.8,4.09,2,3,1,3,4.23,84.64,3,1.705,0,0,0.394,3,7,7,1,1.0,0.5,2.92,33.86,5.91,4.5,17.0,8.18,69.45,0
7.2,3.13,4,5,1,10,2.94,93.1,0,0.0,0,0,0.813,1,5,5,0,1.0,0.0,2.44,37.24,12.19,10.8,14.0,6.26,80.49,1
5.6,4.3,1,2,1,9,2.79,57.56,6,5.0511,5,2,0.475,1,4,4,0,1.0,0.0,3.75,23.02,7.12,15.0,14.0,8.6,67.74,0
8.6,2.71,2,3,1,5,2.67,85.05,0,0.0,3,3,0.842,0,2,2,0,0.5,0.0,3.42,34.02,12.63,15.0,7.0,5.42,74.07,0
3.2,3.74,2,3,1,8,2.74,39.27,7,4.1494,4,2,0.502,0,1,1,0,0.333,0.0,3.41,15.71,7.53,8.0,4.66,7.48,43.38,0
8.8,4.24,2,3,1,2,3.85,67.67,3,1.9786,4,3,0.745,0,7,7,0,1.0,0.0,3.86,27.07,11.18,15.0,14.0,8.48,75.73,1
4.1,4.03,2,3,1,2,3.23,69.67,4,2.6395,0,0,0.696,1,3,3,1,1.0,0.5,3.96,27.87,10.44,10.25,17.0,8.06,73.62,1
12.4,5.0,4,5,1,7,3.24,67.61,2,1.9584,3,3,0.949,1,2,2,0,0.4,0.0,3.39,27.04,14.24,15.0,5.6,10.0,71.88,1
5.8,2.89,3,4,1,8,1.87,33.79,4,2.4075,5,4,0.731,1,0,0,0,0.0,0.0,2.71,13.52,10.96,10.88,0.0,5.78,41.14,1
6.3,2.4,3,4,1,11,2.03,86.48,0,0.0,2,1,0.509,2,8,8,1,1.0,0.5,3.05,34.59,7.64,11.81,17.0,4.8,75.84,1
8.9,2.7,4,5,1,9,5.0,77.91,2,1.353,5,4,0.898,0,3,3,1,0.5,1.0,3.91,31.16,13.47,13.35,13.0,5.4,76.38,0
15.9,4.03,4,5,1,4,2.82,81.11,2,1.1344,5,4,0.757,2,3,3,0,0.6,0.0,3.6,32.44,11.36,15.0,8.4,8.06,75.26,0
6.1,3.9,2,3,1,10,2.23,68.05,1,0.5633,3,2,0.816,1,3,3,0,1.0,0.0,3.12,27.22,12.24,15.0,14.0,7.8,76.26,0
0.5,3.58,1,2,1,6,4.43,72.42,3,2.1112,0,0,0.726,0,5,5,1,1.0,0.5,2.95,28.97,10.89,1.88,17.0,7.16,65.9,1
4.4,2.6,1,2,1,10,3.28,64.28,4,2.6128,3,3,0.884,0,4,4,0,1.0,0.0,3.93,25.71,13.26,15.0,14.0,5.2,73.17,0
3.1,4.11,2,3,1,3,3.58,88.6,1,0.5459,5,4,0.757,1,5,5,2,1.0,1.0,3.34,35.44,11.36,7.75,20.0,8.22,82.77,1
4.8,2.52,3,4,1,2,2.86,64.53,2,1.6043,3,2,0.555,3,2,2,0,0.4,0.0,4.03,25.81,8.33,9.0,5.6,5.04,53.78,0
8.3,4.43,3,4,1,2,2.68,92.23,0,0.0,4,4,0.913,0,2,2,0,0.5,0.0,4.12,36.89,13.7,15.0,7.0,8.86,81.45,1
6.1,5.0,3,4,1,11,2.83,78.87,4,2.1542,3,2,0.8,0,8,8,3,1.0,1.0,3.28,31.55,12.0,11.44,20.0,10.0,84.99,0
2.7,3.79,1,2,1,2,1.62,63.56,3,2.7941,2,1,0.741,1,4,4,1,1.0,0.5,4.16,25.42,11.12,10.12,17.0,7.58,71.24,0
2.0,3.97,1,2,1,11,2.91,72.63,3,1.9271,5,3,0.573,2,9,9,0,1.0,0.0,3.6,29.05,8.59,7.5,14.0,7.94,67.08,0
2.8,3.11,1,2,1,9,3.3,68.71,3,2.9421,0,0,0.439,2,8,8,1,1.0,1.0,3.69,27.48,6.58,10.5,20.0,6.22,70.78,1
5.1,2.05,2,3,1,3,4.85,69.03,4,3.8631,2,1,0.59,3,7,7,3,1.0,1.0,1.97,27.61,8.85,12.75,20.0,4.1,73.31,1
1.2,3.02,3,4,1,10,3.09,61.16,2,1.4341,0,0,0.516,1,5,5,1,1.0,0.5,2.82,24.46,7.74,2.25,17.0,6.04,57.49,0
3.7,2.63,1,2,1,3,0.67,63.88,3,1.8429,3,2,0.683,2,8,8,3,1.0,1.0,2.86,25.55,10.24,13.88,20.0,5.26,74.93,1
3.5,2.34,3,4,1,3,2.91,79.75,2,1.8349,5,4,0.73,1,0,0,0,0.0,0.0,3.28,31.9,10.95,6.56,0.0,4.68,54.09,0
2.4,4.88,3,4,1,7,5.0,72.44,1,0.6806,5,4,0.898,0,4,4,1,1.0,0.5,3.58,28.98,13.47,4.5,17.0,9.76,73.71,1
3.9,3.72,2,3,1,4,3.87,76.52,1,0.5818,1,1,0.867,0,7,7,3,1.0,1.0,3.61,30.61,13.0,9.75,20.0,7.44,80.8,1
2.2,3.8,1,2,1,4,2.19,84.48,1,0.7758,4,2,0.585,2,1,1,0,0.5,0.0,3.7,33.79,8.77,8.25,7.0,7.6,65.41,0
6.3,3.25,4,5,1,3,3.59,57.28,5,3.7235,5,2,0.403,1,1,1,0,0.167,0.0,3.02,22.91,6.04,9.45,2.34,6.5,47.24,0
10.1,3.36,4,5,1,8,2.26,71.11,3,2.775,5,4,0.831,0,0,0,0,0.0,0.0,3.98,28.44,12.46,15.0,0.0,6.72,62.62,1
2.6,4.27,3,4,1,2,1.65,67.38,0,0.0,3,2,0.65,0,4,4,1,1.0,1.0,4.77,26.95,9.75,4.88,20.0,8.54,70.12,0
1.0,3.47,1,2,1,4,2.65,33.71,3,2.8142,1,0,0.252,1,5,5,1,1.0,0.5,3.25,13.48,3.78,3.75,17.0,6.94,44.95,1
2.5,3.92,2,3,1,7,3.09,61.36,2,1.7347,2,1,0.606,1,4,4,0,1.0,0.0,3.04,24.54,9.09,6.25,14.0,7.84,61.72,1
3.9,3.34,2,3,1,6,1.13,71.25,1,0.8211,4,4,0.956,0,0,0,0,0.0,0.0,3.02,28.5,14.34,9.75,0.0,6.68,59.27,1
4.7,3.23,2,3,1,8,1.85,92.36,2,1.5002,3,2,0.624,2,4,4,0,1.0,0.0,3.56,36.94,9.36,11.75,14.0,6.46,78.51,1
5.5,2.37,4,5,1,4,3.01,56.84,4,3.9751,2,2,0.787,0,8,8,1,1.0,0.5,3.13,22.74,11.8,8.25,17.0,4.74,64.53,1
9.8,1.92,4,5,1,8,2.59,39.03,3,2.9387,1,0,0.195,3,0,0,0,0.0,0.0,2.29,15.61,2.92,14.7,0.0,3.84,37.07,0
4.2,3.29,2,3,1,9,3.39,72.27,3,2.7733,3,2,0.637,1,7,7,0,1.0,0.0,2.48,28.91,9.56,10.5,14.0,6.58,69.55,0
1.3,3.55,3,4,1,5,1.79,96.66,0,0.0,2,1,0.278,2,2,2,0,0.4,0.0,4.21,38.66,4.17,2.44,5.6,7.1,57.97,0
0.5,2.47,2,3,1,4,3.71,85.04,1,0.7888,2,2,0.759,1,0,0,0,0.0,0.0,4.4,34.02,11.38,1.25,0.0,4.94,51.59,1
2.0,3.47,1,2,1,7,1.82,64.7,2,1.2598,5,5,0.928,1,0,0,0,0.0,0.0,4.62,25.88,13.92,7.5,0.0,6.94,54.24,1
5.4,3.54,3,4,1,7,4.64,61.97,5,4.6886,0,0,0.832,0,0,0,0,0.0,0.0,3.66,24.79,12.48,10.12,0.0,7.08,54.47,1
1.7,1.78,1,2,1,2,1.28,63.25,4,2.0216,1,1,0.626,3,4,4,0,1.0,0.0,2.81,25.3,9.39,6.38,14.0,3.56,58.63,0
1.9,2.77,1,2,1,7,1.91,79.97,1,0.6137,5,2,0.414,3,4,4,0,1.0,0.0,3.19,31.99,6.21,7.12,14.0,5.54,64.86,1
4.6,3.83,2,3,1,3,3.42,87.02,1,0.7019,5,2,0.401,3,6,6,0,1.0,0.0,2.46,34.81,6.02,11.5,14.0,7.66,73.99,0
10.4,3.81,4,5,1,7,4.66,80.34,1,0.7931,1,1,0.775,0,0,0,0,0.0,0.0,2.43,32.14,11.62,15.0,0.0,7.62,66.38,1
0.5,2.58,1,2,1,11,3.32,98.2,0,0.0,5,4,0.88,0,6,6,2,1.0,1.0,3.68,39.28,13.2,1.88,20.0,5.16,79.52,0
1.1,3.63,2,3,1,7,3.56,69.36,4,2.3516,1,1,0.861,0,7,7,2,1.0,1.0,3.88,27.74,12.92,2.75,20.0,7.26,70.67,1
5.3,4.32,4,5,1,9,3.02,88.09,0,0.0,0,0,0.429,1,0,0,0,0.0,0.0,4.87,35.24,6.44,7.95,0.0,8.64,58.27,1
4.7,4.12,2,3,1,5,1.97,72.67,2,1.2223,1,1,0.899,1,6,6,2,1.0,1.0,3.44,29.07,13.48,11.75,20.0,8.24,82.54,1
5.1,3.42,1,2,1,11,2.51,62.9,5,3.3718,3,2,0.637,2,1,1,0,0.333,0.0,2.55,25.16,9.56,15.0,4.66,6.84,61.22,0
6.9,3.13,4,5,1,10,1.79,66.25,3,1.5211,0,0,0.651,0,4,4,1,0.667,0.5,3.41,26.5,9.76,10.35,12.34,6.26,65.21,0
0.5,3.0,1,2,1,11,1.72,40.47,5,4.2311,1,1,0.676,2,6,6,2,1.0,1.0,3.3,16.19,10.14,1.88,20.0,6.0,54.21,0
0.5,3.87,1,2,1,9,3.4,47.34,5,3.1193,4,3,0.64,1,8,8,1,1.0,0.5,3.16,18.94,9.6,1.88,17.0,7.74,55.16,0
1.9,3.66,2,3,1,8,1.88,82.65,0,0.0,3,2,0.524,2,5,5,0,1.0,0.0,3.74,33.06,7.86,4.75,14.0,7.32,66.99,1
2.6,4.0,2,3,1,7,3.32,90.3,0,0.0,3,2,0.583,2,4,4,1,1.0,1.0,2.65,36.12,8.74,6.5,20.0,8.0,79.36,1
7.0,3.61,4,5,1,11,1.7,61.59,1,0.7559,5,4,0.857,0,8,8,2,1.0,1.0,3.59,24.64,12.86,10.5,20.0,7.22,75.22,0
2.1,4.16,1,2,1,10,3.3,55.91,2,1.8598,1,1,0.504,2,2,2,0,0.667,0.0,3.96,22.36,7.56,7.88,9.34,8.32,55.46,1
1.2,3.58,1,2,1,6,2.51,75.6,1,0.5747,5,4,0.756,2,2,2,0,0.667,0.0,4.49,30.24,11.34,4.5,9.34,7.16,62.58,0
6.6,4.13,2,3,1,2,4.41,33.5,6,4.0222,2,2,0.781,0,4,4,0,1.0,0.0,3.72,13.4,11.72,15.0,14.0,8.26,62.38,1
0.5,4.2,1,2,1,2,3.32,44.62,7,5.9221,5,5,0.935,0,1,1,0,0.5,0.0,4.23,17.85,14.02,1.88,7.0,8.4,49.15,0
1.8,2.86,2,3,1,4,4.24,69.58,5,2.6106,4,3,0.658,2,0,0,0,0.0,0.0,3.19,27.83,9.87,4.5,0.0,5.72,47.92,1
