# SYNTHETIC ACADEMIC DATA — Not real HR data. Generated for IRS demonstration and ML training purposes only.
experience_years,performance_rating,skill_coverage_pct,avg_skill_level,mandatory_skill_gap_count,cert_completion_rate,project_completion_rate,lead_project_completion_rate,avg_project_rating,current_grade_encoded,target_grade_encoded,grade_gap,skill_score,cert_score,experience_score,project_score,performance_score,readiness_score,promotion_success
5.7,3.7,76.57,3.58,1,0.859,0.722,0.503,3.63,1,2,1,30.63,12.88,15.0,13.13,7.4,79.04,1
2.9,3.39,68.1,1.48,3,0.654,0.79,0.724,4.28,2,3,1,27.24,9.81,7.25,15.4,6.78,66.48,1
2.9,4.2,58.73,1.62,5,0.383,0.877,0.443,3.79,2,3,1,23.49,5.74,7.25,14.94,8.4,59.82,0
2.8,3.07,62.0,2.6,1,0.706,0.875,0.444,2.39,1,2,1,24.8,10.59,10.5,14.91,6.14,66.94,1
3.4,2.24,53.89,2.73,2,0.575,0.625,0.33,3.57,2,3,1,21.56,8.62,8.5,10.73,4.48,53.89,0
4.4,2.39,58.21,1.28,3,0.717,0.689,0.215,2.16,1,2,1,23.28,10.76,15.0,10.94,4.78,64.76,1
0.5,3.07,75.19,3.82,1,0.671,0.539,0.226,4.06,1,2,1,30.08,10.07,1.88,8.9,6.14,57.07,1
3.9,2.5,71.77,1.91,3,0.627,0.91,0.907,3.01,3,4,1,28.71,9.4,7.31,18.18,5.0,68.6,1
0.5,3.83,74.38,4.49,1,0.921,0.426,0.202,2.64,1,2,1,29.75,13.82,1.88,7.18,7.66,60.29,0
0.5,3.13,94.7,4.82,1,0.361,0.943,0.296,4.07,2,3,1,37.88,5.42,1.25,14.98,6.26,65.79,0
0.5,5.0,69.26,2.75,4,0.701,0.686,0.34,3.89,1,2,1,27.7,10.51,1.88,11.64,10.0,61.73,1
0.5,2.11,68.69,3.44,6,0.672,0.915,0.536,3.66,1,2,1,27.48,10.08,1.88,16.03,4.22,59.69,0
5.5,3.66,56.53,1.77,7,0.581,0.727,0.497,5.0,3,4,1,22.61,8.72,10.31,13.16,7.32,62.12,1
6.8,2.6,98.56,3.62,0,0.694,0.648,0.226,3.94,2,3,1,39.42,10.41,15.0,10.43,5.2,80.46,1
1.4,3.11,92.27,2.5,0,0.633,0.773,0.66,3.05,1,2,1,36.91,9.5,5.25,14.78,6.22,72.66,1
3.4,3.61,69.87,1.91,2,0.787,0.832,0.73,3.86,3,4,1,27.95,11.8,6.38,16.03,7.22,69.38,1
1.9,1.64,77.26,2.71,3,0.708,0.602,0.27,3.3,1,2,1,30.9,10.62,7.12,10.05,3.28,61.97,0
6.6,3.69,79.76,2.53,0,0.848,0.945,0.812,4.39,2,3,1,31.9,12.72,15.0,18.1,7.38,85.1,1
0.5,5.0,56.46,2.67,4,0.729,0.847,0.468,3.7,1,2,1,22.58,10.94,1.88,14.67,10.0,60.07,0
1.7,3.14,89.71,3.95,0,0.883,0.915,0.546,3.77,2,3,1,35.88,13.24,4.25,16.09,6.28,75.74,1
3.4,3.71,48.65,2.21,6,0.636,0.902,0.862,2.49,1,2,1,19.46,9.54,12.75,17.8,7.42,66.97,0
7.4,4.32,73.37,4.74,3,0.634,0.924,0.854,3.54,4,5,1,29.35,9.51,11.1,18.06,8.64,76.66,1
9.6,3.37,76.57,1.67,3,0.755,0.615,0.346,3.46,4,5,1,30.63,11.32,14.4,10.69,6.74,73.78,1
4.0,3.04,55.37,4.62,5,0.628,0.439,0.282,2.78,2,3,1,22.15,9.42,10.0,7.84,6.08,55.49,0
7.8,1.68,57.07,1.98,6,0.583,0.884,0.443,3.34,3,4,1,22.83,8.74,14.62,15.03,3.36,64.58,0
1.4,4.01,89.75,3.0,0,0.612,0.61,0.403,3.81,2,3,1,35.9,9.18,3.5,10.96,8.02,67.56,1
2.0,3.41,83.75,2.51,0,0.781,0.494,0.384,3.5,1,2,1,33.5,11.72,7.5,9.22,6.82,68.76,0
1.5,2.69,94.15,2.66,0,0.847,0.729,0.266,2.51,1,2,1,37.66,12.7,5.62,11.8,5.38,73.16,1
3.0,3.6,42.32,3.8,5,0.541,0.636,0.6,3.31,3,4,1,16.93,8.12,5.62,12.5,7.2,50.37,0
0.5,3.03,59.4,4.5,4,0.952,0.602,0.484,3.17,1,2,1,23.76,14.28,1.88,11.33,6.06,57.31,0
9.7,3.08,74.76,4.19,1,0.792,0.522,0.192,3.64,4,5,1,29.9,11.88,14.55,8.46,6.16,70.95,1
5.1,3.99,76.93,2.6,5,0.923,0.778,0.707,3.56,3,4,1,30.77,13.84,9.56,15.13,7.98,77.28,1
1.4,2.43,88.79,3.18,1,0.594,0.974,0.799,3.21,2,3,1,35.52,8.91,3.5,18.43,4.86,71.22,1
7.8,4.34,71.55,2.22,2,0.723,0.854,0.443,3.18,4,5,1,28.62,10.84,11.7,14.61,8.68,74.45,1
4.8,2.38,41.46,2.01,5,0.521,0.807,0.537,3.55,1,2,1,16.58,7.82,15.0,14.52,4.76,58.68,0
2.3,2.97,57.58,1.85,7,0.845,0.679,0.613,4.17,4,5,1,23.03,12.68,3.45,13.18,5.94,58.28,0
0.5,5.0,78.19,2.56,3,0.708,0.821,0.803,3.7,1,2,1,31.28,10.62,1.88,16.31,10.0,70.09,0
5.7,4.4,26.34,3.25,5,0.712,0.276,0.137,4.5,4,5,1,10.54,10.68,8.55,4.69,8.8,43.26,0
11.7,3.58,81.19,1.09,1,0.602,0.548,0.414,4.29,4,5,1,32.48,9.03,15.0,10.16,7.16,73.83,1
2.7,2.75,69.94,2.95,3,0.756,0.85,0.767,4.55,1,2,1,27.98,11.34,10.12,16.5,5.5,71.44,1
3.9,3.08,49.77,4.52,4,0.821,0.902,0.895,4.46,1,2,1,19.91,12.32,14.62,18.0,6.16,71.01,1
3.1,3.56,66.02,4.12,3,0.627,0.733,0.256,4.59,3,4,1,26.41,9.4,5.81,11.8,7.12,60.54,0
0.5,3.53,36.94,2.41,7,0.711,0.553,0.361,2.69,1,2,1,14.78,10.66,1.88,9.91,7.06,44.29,0
3.1,3.43,94.05,1.6,3,0.508,0.708,0.645,3.95,1,2,1,37.62,7.62,11.62,13.78,6.86,77.5,1
4.1,3.48,87.31,3.46,0,0.452,0.454,0.137,4.35,2,3,1,34.92,6.78,10.25,7.18,6.96,66.09,0
7.4,3.33,69.83,0.68,3,0.951,0.951,0.576,4.48,3,4,1,27.93,14.26,13.88,16.77,6.66,79.5,1
3.5,2.35,78.29,4.11,4,0.67,0.667,0.473,2.96,2,3,1,31.32,10.05,8.75,12.18,4.7,67.0,1
4.7,3.09,65.36,2.79,5,0.824,0.649,0.434,3.96,2,3,1,26.14,12.36,11.75,11.69,6.18,68.12,0
8.4,4.23,71.92,4.83,6,0.507,0.817,0.664,3.55,4,5,1,28.77,7.6,12.6,15.42,8.46,72.85,1
3.9,2.41,75.31,1.27,4,0.587,0.701,0.242,4.79,1,2,1,30.12,8.8,14.62,11.27,4.82,69.63,1
4.0,3.35,76.64,3.92,0,0.871,0.516,0.438,2.53,1,2,1,30.66,13.06,15.0,9.85,6.7,75.27,1
0.5,2.84,63.39,2.9,6,0.529,0.831,0.414,2.96,1,2,1,25.36,7.94,1.88,14.12,5.68,54.98,0
0.5,3.59,85.64,2.67,1,0.587,0.668,0.586,2.23,2,3,1,34.26,8.8,1.25,12.87,7.18,64.36,1
10.5,3.19,70.33,1.63,3,0.696,0.915,0.543,3.6,4,5,1,28.13,10.44,15.0,16.07,6.38,76.02,1
5.0,4.68,84.02,3.6,1,0.725,0.713,0.235,5.0,1,2,1,33.61,10.88,15.0,11.39,9.36,80.24,1
1.4,3.91,84.5,3.68,3,0.485,0.824,0.803,3.47,2,3,1,33.8,7.28,3.5,16.35,7.82,68.75,0
0.5,2.45,93.84,4.79,1,0.602,0.672,0.569,3.57,2,3,1,37.54,9.03,1.25,12.82,4.9,65.54,0
4.2,4.04,69.1,4.01,5,0.21,0.67,0.364,3.89,2,3,1,27.64,3.15,10.5,11.56,8.08,60.93,1
6.3,2.88,64.33,2.41,2,0.705,0.829,0.405,3.42,2,3,1,25.73,10.58,15.0,14.04,5.76,71.11,1
12.5,3.04,78.08,2.0,1,0.61,0.707,0.504,3.76,4,5,1,31.23,9.15,15.0,12.92,6.08,74.38,1
7.3,3.75,76.34,1.63,2,0.859,0.875,0.867,3.77,3,4,1,30.54,12.88,13.69,17.45,7.5,82.06,1
5.1,3.11,91.29,4.47,0,0.887,0.654,0.329,2.91,3,4,1,36.52,13.3,9.56,11.13,6.22,76.73,1
5.8,4.21,48.87,2.22,4,0.744,0.725,0.699,3.43,4,5,1,19.55,11.16,8.7,14.34,8.42,62.17,1
8.0,2.88,83.19,4.48,1,0.821,0.705,0.375,4.02,4,5,1,33.28,12.32,12.0,12.12,5.76,75.48,1
3.3,3.0,68.51,3.53,3,0.44,0.736,0.584,4.15,2,3,1,27.4,6.6,8.25,13.81,6.0,62.06,1
0.5,2.97,37.01,3.33,8,0.539,0.805,0.457,4.41,1,2,1,14.8,8.09,1.88,14.01,5.94,44.72,0
7.1,3.05,72.84,2.69,1,0.848,0.847,0.305,3.73,1,2,1,29.14,12.72,15.0,13.69,6.1,76.65,1
8.5,4.38,74.63,3.66,3,0.767,0.578,0.552,3.75,2,3,1,29.85,11.5,15.0,11.4,8.76,76.51,1
8.8,4.0,70.43,2.98,2,0.29,0.486,0.202,4.03,3,4,1,28.17,4.35,15.0,8.02,8.0,63.54,0
3.7,4.87,28.08,2.63,8,0.731,0.844,0.811,3.08,3,4,1,11.23,10.96,6.94,16.68,9.74,55.55,0
8.1,5.0,43.42,3.7,7,0.569,0.543,0.202,3.05,3,4,1,17.37,8.54,15.0,8.81,10.0,59.72,1
3.6,2.68,82.91,2.86,1,0.481,0.861,0.419,3.41,1,2,1,33.16,7.22,13.5,14.57,5.36,73.81,1
3.1,3.56,78.04,2.2,3,0.529,0.604,0.571,2.61,1,2,1,31.22,7.94,11.62,11.88,7.12,69.78,1
5.1,2.56,92.31,3.6,0,0.917,0.785,0.597,3.78,1,2,1,36.92,13.76,15.0,14.57,5.12,85.37,1
5.6,2.88,65.84,2.94,3,0.45,0.741,0.321,4.23,2,3,1,26.34,6.75,14.0,12.3,5.76,65.15,0
7.9,3.0,60.28,3.49,5,0.595,0.959,0.685,3.0,3,4,1,24.11,8.92,14.81,17.54,6.0,71.38,0
3.6,2.65,84.19,2.55,1,0.603,0.781,0.333,3.8,1,2,1,33.68,9.04,13.5,12.93,5.3,74.45,1
6.9,2.66,66.95,1.79,4,0.752,0.578,0.527,3.06,3,4,1,26.78,11.28,12.94,11.25,5.32,67.57,1
1.5,3.38,88.12,4.74,0,0.323,0.924,0.309,2.79,3,4,1,35.25,4.84,2.81,14.79,6.76,64.45,1
4.2,2.53,80.76,4.55,4,0.581,0.805,0.54,4.94,2,3,1,32.3,8.72,10.5,14.51,5.06,71.09,1
0.6,4.17,55.49,3.88,4,0.802,0.849,0.292,2.8,1,2,1,22.2,12.03,2.25,13.64,8.34,58.46,0
4.8,2.77,52.86,2.61,4,0.524,0.774,0.609,2.6,4,5,1,21.14,7.86,7.2,14.49,5.54,56.23,0
12.2,5.0,83.7,2.7,3,0.816,0.901,0.861,3.65,4,5,1,33.48,12.24,15.0,17.78,10.0,88.5,1
10.3,3.14,37.15,4.38,6,0.687,0.793,0.699,3.69,3,4,1,14.86,10.31,15.0,15.3,6.28,61.75,0
5.4,3.56,32.27,2.65,6,0.593,0.602,0.337,3.97,1,2,1,12.91,8.9,15.0,10.45,7.12,54.38,0
4.6,2.46,89.61,2.37,2,0.427,0.93,0.433,4.9,2,3,1,35.84,6.4,11.5,15.62,4.92,74.28,1
7.4,4.86,69.04,4.87,1,0.826,0.847,0.326,2.96,2,3,1,27.62,12.39,15.0,13.81,9.72,78.54,1
4.0,4.4,65.37,2.95,5,0.771,0.789,0.719,3.1,2,3,1,26.15,11.56,10.0,15.36,8.8,71.87,1
8.5,3.74,49.53,4.77,4,0.793,0.628,0.224,4.63,4,5,1,19.81,11.9,12.75,10.14,7.48,62.08,0
5.3,2.42,67.59,1.6,3,0.528,0.534,0.395,4.16,4,5,1,27.04,7.92,7.95,9.85,4.84,57.6,1
5.0,3.67,93.97,3.52,0,0.371,0.659,0.367,4.06,2,3,1,37.59,5.56,12.5,11.43,7.34,74.42,1
6.2,2.6,59.08,5.0,2,0.503,0.583,0.581,3.09,3,4,1,23.63,7.54,11.62,11.65,5.2,59.64,0
0.7,4.67,96.57,3.03,1,0.601,0.747,0.49,4.29,2,3,1,38.63,9.02,1.75,13.4,9.34,72.14,1
1.9,4.15,80.02,2.74,1,0.203,0.776,0.531,4.06,1,2,1,32.01,3.05,7.12,14.05,8.3,64.53,0
5.8,3.58,65.93,1.83,2,0.781,0.919,0.866,3.63,3,4,1,26.37,11.72,10.88,18.06,7.16,74.19,1
6.5,1.55,64.89,4.08,4,0.574,0.886,0.867,3.09,1,2,1,25.96,8.61,15.0,17.61,3.1,70.28,1
4.2,2.71,58.03,2.23,5,0.622,0.658,0.466,3.57,1,2,1,23.21,9.33,15.0,12.01,5.42,64.97,1
4.0,4.05,90.4,2.91,0,0.126,0.463,0.397,4.65,2,3,1,36.16,1.89,10.0,8.86,8.1,65.01,0
8.6,4.47,68.37,1.77,4,0.492,0.856,0.637,2.73,4,5,1,27.35,7.38,12.9,15.81,8.94,72.38,1
2.1,4.39,76.58,4.56,2,0.818,0.687,0.412,2.94,1,2,1,30.63,12.27,7.88,12.09,8.78,71.65,1
3.5,2.23,69.63,4.15,5,0.956,0.315,0.107,3.06,2,3,1,27.85,14.34,8.75,5.05,4.46,60.45,1
5.3,3.74,82.02,2.97,0,0.209,0.669,0.537,3.21,4,5,1,32.81,3.14,7.95,12.59,7.48,63.97,0
3.6,4.31,77.94,1.85,0,0.73,0.963,0.761,3.49,2,3,1,31.18,10.95,9.0,18.05,8.62,77.8,1
0.5,2.17,56.85,4.54,5,0.537,0.681,0.26,4.17,1,2,1,22.74,8.06,1.88,11.09,4.34,48.11,0
4.9,3.49,65.94,2.63,2,0.813,0.817,0.377,3.82,4,5,1,26.38,12.19,7.35,13.7,6.98,66.6,0
3.3,3.72,62.39,1.89,4,0.748,0.261,0.212,3.54,1,2,1,24.96,11.22,12.38,4.93,7.44,60.93,0
3.0,3.26,75.46,1.24,0,0.505,0.691,0.28,3.69,1,2,1,30.18,7.58,11.25,11.35,6.52,66.88,1
0.5,2.02,83.8,2.35,2,0.521,0.354,0.277,3.94,2,3,1,33.52,7.82,1.25,6.62,4.04,53.25,0
3.7,3.24,45.24,1.55,3,0.668,0.805,0.646,2.32,2,3,1,18.1,10.02,9.25,15.15,6.48,59.0,1
10.5,3.24,81.07,2.38,3,0.439,0.94,0.515,4.25,4,5,1,32.43,6.58,15.0,16.25,6.48,76.74,1
4.6,3.38,83.3,3.74,4,0.243,0.861,0.414,2.92,1,2,1,33.32,3.64,15.0,14.54,6.76,73.26,1
4.6,3.05,63.46,2.62,6,0.851,0.675,0.379,3.19,1,2,1,25.38,12.76,15.0,11.72,6.1,70.96,1
4.1,3.15,54.63,3.36,4,0.906,0.482,0.266,3.74,2,3,1,21.85,13.59,10.25,8.34,6.3,60.33,0
0.5,3.47,71.19,2.28,2,0.462,0.46,0.333,3.45,1,2,1,28.48,6.93,1.88,8.44,6.94,52.67,1
1.3,3.85,82.83,3.07,3,0.762,0.806,0.661,3.84,2,3,1,33.13,11.43,3.25,15.25,7.7,70.76,1
2.9,3.26,77.16,4.92,4,0.872,0.903,0.816,3.6,1,2,1,30.86,13.08,10.88,17.54,6.52,78.88,1
8.9,3.17,68.69,2.65,6,0.505,0.882,0.283,3.3,4,5,1,27.48,7.58,13.35,14.05,6.34,68.8,1
7.2,3.57,62.48,3.38,5,0.504,0.486,0.393,4.57,2,3,1,24.99,7.56,15.0,9.16,7.14,63.85,0
6.7,1.96,90.85,1.43,0,0.77,0.914,0.475,4.0,2,3,1,36.34,11.55,15.0,15.65,3.92,82.46,1
3.7,3.88,67.24,4.52,6,0.094,0.691,0.613,3.71,2,3,1,26.9,1.41,9.25,13.35,7.76,58.67,0
0.9,3.5,69.49,2.52,5,0.963,0.689,0.243,3.98,2,3,1,27.8,14.44,2.25,11.1,7.0,62.59,0
1.2,3.53,89.59,4.05,1,0.231,0.72,0.494,3.01,1,2,1,35.84,3.47,4.5,13.04,7.06,63.91,1
2.5,4.27,60.0,2.88,6,0.704,0.694,0.475,5.0,1,2,1,24.0,10.56,9.38,12.57,8.54,65.05,1
7.5,1.94,63.07,3.61,4,0.953,0.587,0.31,2.74,4,5,1,25.23,14.3,11.25,10.08,3.88,64.74,1
6.6,1.92,60.75,3.67,6,0.773,0.634,0.621,3.58,4,5,1,24.3,11.6,9.9,12.6,3.84,62.24,0
6.6,3.72,34.32,2.55,8,0.673,0.879,0.329,3.3,3,4,1,13.73,10.1,12.38,14.28,7.44,57.93,0
2.7,3.49,81.1,4.09,3,0.635,0.61,0.241,3.27,2,3,1,32.44,9.52,6.75,9.99,6.98,65.68,1
0.5,3.64,77.93,2.24,0,0.457,0.795,0.597,3.18,1,2,1,31.17,6.86,1.88,14.71,7.28,61.9,0
6.8,3.13,49.62,3.78,6,0.877,0.822,0.543,2.96,3,4,1,19.85,13.16,12.75,14.77,6.26,66.79,0
1.0,4.03,81.66,2.61,1,0.806,0.947,0.459,4.33,1,2,1,32.66,12.09,3.75,16.01,8.06,72.57,1
4.6,4.25,56.84,3.35,4,0.947,0.704,0.361,2.66,2,3,1,22.74,14.2,11.5,12.02,8.5,68.96,1
4.7,3.89,88.07,2.54,0,0.448,0.424,0.174,4.19,2,3,1,35.23,6.72,11.75,6.98,7.78,68.46,0
1.2,3.29,50.07,3.05,8,0.735,0.359,0.326,3.95,2,3,1,20.03,11.02,3.0,6.98,6.58,47.61,0
2.8,1.81,82.4,1.93,2,0.805,0.873,0.61,3.23,2,3,1,32.96,12.08,7.0,15.88,3.62,71.54,0
11.6,4.12,52.22,3.25,7,0.718,0.792,0.373,3.87,4,5,1,20.89,10.77,15.0,13.33,8.24,68.23,1
1.1,4.48,75.82,3.04,2,0.497,0.628,0.361,3.39,2,3,1,30.33,7.46,2.75,10.96,8.96,60.46,1
2.7,4.02,72.71,2.46,0,0.884,0.538,0.503,2.73,4,5,1,29.08,13.26,4.05,10.55,8.04,64.98,0
3.3,2.8,56.38,2.94,6,0.544,0.893,0.822,2.74,4,5,1,22.55,8.16,4.95,17.43,5.6,58.69,1
4.1,4.04,68.53,3.13,4,0.565,0.6,0.209,3.96,2,3,1,27.41,8.48,10.25,9.65,8.08,63.87,1
4.1,4.19,81.78,2.38,2,0.787,0.778,0.59,3.92,2,3,1,32.71,11.8,10.25,14.43,8.38,77.57,1
3.7,4.75,72.76,2.87,4,0.738,0.616,0.251,3.67,2,3,1,29.1,11.07,9.25,10.13,9.5,69.05,0
7.0,2.8,80.9,1.99,3,0.794,0.868,0.389,3.23,2,3,1,32.36,11.91,15.0,14.49,5.6,79.36,1
0.5,3.32,66.83,5.0,4,0.702,0.929,0.841,3.37,2,3,1,26.73,10.53,1.25,18.05,6.64,63.2,0
3.0,4.1,72.17,4.06,5,0.314,0.863,0.8,3.27,1,2,1,28.87,4.71,11.25,16.88,8.2,69.91,1
11.9,3.55,68.74,3.27,4,0.499,0.545,0.195,2.28,4,5,1,27.5,7.48,15.0,8.8,7.1,65.88,0
0.5,2.61,80.13,4.17,2,0.477,0.7,0.638,3.54,1,2,1,32.05,7.15,1.88,13.63,5.22,59.93,0
3.1,3.83,88.45,1.02,1,0.916,0.743,0.602,3.87,2,3,1,35.38,13.74,7.75,14.01,7.66,78.54,1
4.1,3.96,56.39,0.44,0,0.177,0.717,0.604,3.55,3,4,1,22.56,2.66,7.69,13.66,7.92,54.49,0
1.8,3.57,81.85,2.6,1,0.747,0.764,0.653,4.74,2,3,1,32.74,11.2,4.5,14.61,7.14,70.19,1
3.2,3.68,94.96,1.62,1,0.248,0.806,0.528,2.8,2,3,1,37.98,3.72,8.0,14.45,7.36,71.51,0
5.6,3.29,22.87,2.76,7,0.539,0.541,0.521,3.04,1,2,1,9.15,8.09,15.0,10.7,6.58,49.52,0
8.6,4.68,63.21,3.21,3,0.401,0.594,0.262,3.59,2,3,1,25.28,6.02,15.0,9.89,9.36,65.55,1
1.2,2.78,60.36,3.92,4,0.773,0.675,0.441,3.67,1,2,1,24.14,11.6,4.5,12.1,5.56,57.9,1
6.8,3.03,59.96,1.86,3,0.657,0.641,0.335,2.17,1,2,1,23.98,9.86,15.0,10.98,6.06,65.88,1
4.1,3.51,94.2,3.4,0,0.882,0.607,0.532,3.92,2,3,1,37.68,13.23,10.25,11.69,7.02,79.87,1
8.4,4.2,53.08,3.01,7,0.594,0.834,0.298,3.67,2,3,1,21.23,8.91,15.0,13.46,8.4,67.0,0
3.8,2.3,79.29,3.35,2,0.645,0.437,0.264,2.02,2,3,1,31.72,9.68,9.5,7.7,4.6,63.2,1
4.3,2.45,56.67,2.48,3,0.549,0.932,0.784,3.42,2,3,1,22.67,8.24,10.75,17.75,4.9,64.31,1
2.9,1.87,67.61,4.38,3,0.922,0.454,0.235,2.93,1,2,1,27.04,13.83,10.88,7.77,3.74,63.26,0
15.9,3.53,66.39,2.9,3,0.818,0.774,0.362,3.18,4,5,1,26.56,12.27,15.0,13.01,7.06,73.9,1
8.1,2.61,83.58,4.77,2,0.909,0.802,0.388,2.56,3,4,1,33.43,13.64,15.0,13.56,5.22,80.85,1
2.2,3.19,72.69,2.21,5,0.616,0.894,0.715,3.79,2,3,1,29.08,9.24,5.5,16.81,6.38,67.01,0
4.4,4.03,76.62,3.74,3,0.716,0.775,0.388,4.73,1,2,1,30.65,10.74,15.0,13.18,8.06,77.63,1
1.1,2.99,76.96,2.94,3,0.911,0.782,0.455,3.69,1,2,1,30.78,13.66,4.12,13.68,5.98,68.22,0
4.8,3.69,85.9,2.67,1,0.966,0.638,0.435,1.99,3,4,1,34.36,14.49,9.0,11.54,7.38,76.77,1
10.3,3.26,90.72,3.63,1,0.814,0.586,0.562,3.7,4,5,1,36.29,12.21,15.0,11.58,6.52,81.6,1
6.1,4.04,84.61,2.7,1,0.993,0.798,0.683,3.36,3,4,1,33.84,14.9,11.44,15.27,8.08,83.53,1
6.7,3.88,65.56,0.34,0,0.856,0.917,0.394,2.73,3,4,1,26.22,12.84,12.56,15.2,7.76,74.58,1
4.0,2.95,81.28,0.0,3,0.58,0.914,0.839,3.75,2,3,1,32.51,8.7,10.0,17.83,5.9,74.94,1
2.8,3.37,84.02,4.27,1,0.59,0.707,0.63,4.12,1,2,1,33.61,8.85,10.5,13.68,6.74,73.38,1
3.1,4.33,79.02,4.23,2,0.44,0.92,0.756,3.03,1,2,1,31.61,6.6,11.62,17.42,8.66,75.91,1
0.5,3.81,61.1,4.89,2,0.693,0.857,0.567,2.35,1,2,1,24.44,10.4,1.88,15.4,7.62,59.74,1
7.7,2.38,88.24,2.98,2,0.676,0.64,0.223,2.09,3,4,1,35.3,10.14,14.44,10.3,4.76,74.94,1
1.5,4.02,71.91,1.71,1,0.71,0.828,0.661,3.03,2,3,1,28.76,10.65,3.75,15.56,8.04,66.76,1
0.5,2.63,86.82,2.58,1,0.666,0.429,0.284,3.39,1,2,1,34.73,9.99,1.88,7.71,5.26,59.57,0
3.9,4.63,58.58,3.01,6,0.697,0.951,0.492,3.14,2,3,1,23.43,10.46,9.75,16.27,9.26,69.17,1
4.2,4.32,76.89,1.99,2,0.737,0.968,0.297,3.02,2,3,1,30.76,11.06,10.5,15.33,8.64,76.29,1
2.3,3.73,87.18,4.65,3,0.498,0.95,0.439,3.9,2,3,1,34.87,7.47,5.75,15.93,7.46,71.48,1
4.1,3.63,91.78,5.0,0,0.857,0.789,0.571,3.82,1,2,1,36.71,12.86,15.0,14.47,7.26,86.3,1
0.5,3.33,75.64,3.48,3,0.336,0.487,0.184,3.64,1,2,1,30.26,5.04,1.88,7.92,6.66,51.76,0
1.0,4.04,89.0,2.99,3,0.96,0.538,0.408,4.07,1,2,1,35.6,14.4,3.75,9.98,8.08,71.81,1
0.5,3.2,87.12,1.71,1,0.714,0.746,0.652,3.04,1,2,1,34.85,10.71,1.88,14.36,6.4,68.2,0
3.9,3.69,92.4,4.55,1,0.547,0.794,0.415,2.73,2,3,1,36.96,8.2,9.75,13.61,7.38,75.9,1
2.7,4.2,74.96,3.08,2,0.575,0.647,0.231,3.13,1,2,1,29.98,8.62,10.12,10.44,8.4,67.56,1
0.5,3.05,66.33,2.71,4,0.486,0.693,0.276,3.09,1,2,1,26.53,7.29,1.88,11.36,6.1,53.16,0
5.8,3.01,58.09,3.48,6,0.776,0.628,0.346,2.06,2,3,1,23.24,11.64,14.5,10.87,6.02,66.27,1
6.2,2.54,68.9,2.41,4,0.635,0.727,0.632,3.12,3,4,1,27.56,9.52,11.62,13.97,5.08,67.75,0
3.3,2.65,72.74,3.15,5,0.789,0.789,0.587,4.27,4,5,1,29.1,11.84,4.95,14.57,5.3,65.76,1
0.5,2.04,84.47,1.56,2,0.352,0.54,0.49,4.06,1,2,1,33.79,5.28,1.88,10.5,4.08,55.53,0
4.0,4.08,86.18,4.09,1,0.791,0.802,0.799,3.87,2,3,1,34.47,11.86,10.0,16.02,8.16,80.51,1
1.4,4.95,76.15,2.9,2,0.875,0.91,0.402,3.59,1,2,1,30.46,13.12,5.25,15.15,9.9,73.88,1
3.7,4.64,88.94,4.16,2,0.861,0.866,0.681,4.51,2,3,1,35.58,12.92,9.25,16.21,9.28,83.24,1
3.9,2.2,45.14,2.8,4,0.88,0.723,0.453,2.76,2,3,1,18.06,13.2,9.75,12.84,4.4,58.25,0
4.6,4.08,80.9,2.86,2,0.519,0.857,0.553,2.82,2,3,1,32.36,7.78,11.5,15.32,8.16,75.12,1
6.4,4.64,89.87,1.79,0,0.658,0.836,0.441,4.29,2,3,1,35.95,9.87,15.0,14.35,9.28,84.45,1
0.5,3.13,36.15,3.76,6,0.882,0.723,0.39,3.52,1,2,1,14.46,13.23,1.88,12.46,6.26,48.29,0
1.1,3.58,56.29,2.12,5,0.848,0.693,0.536,3.03,2,3,1,22.52,12.72,2.75,12.92,7.16,58.07,0
1.3,1.89,72.19,2.51,5,0.214,0.863,0.634,3.89,2,3,1,28.88,3.21,3.25,15.89,3.78,55.01,0
6.7,3.71,87.58,3.0,0,0.738,0.862,0.451,3.19,3,4,1,35.03,11.07,12.56,14.77,7.42,80.85,1
11.1,2.65,97.81,3.12,0,0.935,0.379,0.145,2.91,4,5,1,39.12,14.02,15.0,6.18,5.3,79.62,1
4.9,3.66,77.52,1.29,2,0.828,0.811,0.572,2.89,3,4,1,31.01,12.42,9.19,14.79,7.32,74.73,1
0.5,2.25,80.52,2.77,1,0.757,0.868,0.71,3.73,1,2,1,32.21,11.36,1.88,16.41,4.5,66.36,1
0.5,3.93,89.23,3.8,3,0.754,0.857,0.592,3.64,2,3,1,35.69,11.31,1.25,15.55,7.86,71.66,1
0.5,4.32,83.35,2.62,1,0.802,0.843,0.255,4.56,1,2,1,33.34,12.03,1.88,13.33,8.64,69.22,1
2.6,2.87,65.96,2.78,3,0.852,0.412,0.205,3.3,2,3,1,26.38,12.78,6.5,7.0,5.74,58.4,1
3.0,2.59,55.71,3.16,3,0.389,0.454,0.384,3.28,2,3,1,22.28,5.84,7.5,8.66,5.18,49.46,0
4.1,1.78,89.46,2.87,1,0.687,0.316,0.259,4.51,2,3,1,35.78,10.31,10.25,5.98,3.56,65.88,1
1.2,3.29,92.52,1.97,3,0.689,0.49,0.151,4.19,1,2,1,37.01,10.34,4.5,7.77,6.58,66.2,0
4.6,3.03,75.57,2.96,2,0.785,0.95,0.598,3.6,1,2,1,30.23,11.78,15.0,16.89,6.06,79.96,1
